# Word Drop – Nationalities (used by the "Tricky Words > Translate — Nationalities" mode)
# Format: english|slovensky
# Both sides used as prompts/answers – direction is random (EN→SK or SK→EN)
# Lines starting with # are ignored.
#
# Edit freely — add, remove, or change any pair below.
# After editing: save the file and reload the game page (F5).

American|Američan
British|Brit
Slovak|Slovák
Czech|Čech
German|Nemec
French|Francúz
Italian|Talian
Spanish|Španiel
Polish|Poliak
Russian|Rus
Japanese|Japonec
Chinese|Čínan
