# Word Drop – Word List
# Format: LEVEL | word
# L1 = Easy (3-5 letters)   → used in Easy difficulty
# L2 = Medium (4-7 letters) → used in Medium difficulty
# L3 = Hard (5-10 letters)  → used in Hard difficulty
#
# Edit freely! Add, remove, or move words between levels.
# Lines starting with # are ignored.

# ── L1 – Easy words (3-5 letters) ──────────────────────────────────
L1 | dog
L1 | cat
L1 | run
L1 | jump
L1 | big
L1 | red
L1 | sun
L1 | hat
L1 | cup
L1 | book
L1 | fish
L1 | bird
L1 | tree
L1 | home
L1 | ball
L1 | fast
L1 | slow
L1 | blue
L1 | good
L1 | play
L1 | sing
L1 | star
L1 | moon
L1 | rain
L1 | food
L1 | hand
L1 | face
L1 | door
L1 | road
L1 | love
L1 | like
L1 | make
L1 | walk
L1 | talk
L1 | time
L1 | work
L1 | word
L1 | come
L1 | look
L1 | feel
L1 | help
L1 | keep
L1 | know
L1 | need
L1 | open
L1 | part
L1 | plan
L1 | real
L1 | rest
L1 | safe
L1 | save
L1 | send
L1 | show
L1 | stay
L1 | stop
L1 | sure
L1 | tall
L1 | tell
L1 | true
L1 | turn
L1 | wait
L1 | warm
L1 | wide
L1 | wild
L1 | will
L1 | wish
L1 | wood
L1 | wrap
L1 | year
L1 | zero
L1 | gift
L1 | glow
L1 | grow
L1 | hope
L1 | item
L1 | kind
L1 | land
L1 | last
L1 | life
L1 | list
L1 | long
L1 | loss
L1 | luck
L1 | mark
L1 | meal
L1 | mind
L1 | mine
L1 | miss
L1 | move
L1 | name
L1 | nice
L1 | note
L1 | once
L1 | only
L1 | path
L1 | poem
L1 | pull
L1 | push
L1 | rock
L1 | role
L1 | rule
L1 | rush
L1 | sail
L1 | sale
L1 | salt
L1 | same
L1 | seed
L1 | side
L1 | sign
L1 | silk
L1 | skin
L1 | skip
L1 | slim
L1 | slip
L1 | slow
L1 | snow
L1 | soar
L1 | soft
L1 | song
L1 | soon
L1 | sort
L1 | step
L1 | swim
L1 | task
L1 | team
L1 | test
L1 | text
L1 | tide
L1 | tiny
L1 | toad
L1 | toss
L1 | town
L1 | trip
L1 | twin
L1 | unit
L1 | vary
L1 | vast
L1 | view
L1 | vine
L1 | wave
L1 | weak
L1 | wink
L1 | wolf

# ── L2 – Medium words (4-7 letters) ────────────────────────────────
L2 | apple
L2 | house
L2 | water
L2 | green
L2 | small
L2 | large
L2 | other
L2 | about
L2 | might
L2 | place
L2 | world
L2 | think
L2 | going
L2 | where
L2 | never
L2 | great
L2 | still
L2 | every
L2 | after
L2 | again
L2 | bring
L2 | could
L2 | light
L2 | night
L2 | right
L2 | write
L2 | below
L2 | above
L2 | wrong
L2 | clear
L2 | start
L2 | sound
L2 | study
L2 | learn
L2 | speak
L2 | happy
L2 | angry
L2 | funny
L2 | sport
L2 | music
L2 | plant
L2 | earth
L2 | space
L2 | speed
L2 | power
L2 | build
L2 | break
L2 | carry
L2 | catch
L2 | climb
L2 | cloud
L2 | cover
L2 | dance
L2 | eagle
L2 | early
L2 | enter
L2 | float
L2 | focus
L2 | force
L2 | fresh
L2 | frost
L2 | fruit
L2 | giant
L2 | glass
L2 | globe
L2 | grace
L2 | grand
L2 | guard
L2 | guess
L2 | heart
L2 | heavy
L2 | honor
L2 | human
L2 | hurry
L2 | image
L2 | lucky
L2 | magic
L2 | major
L2 | match
L2 | maybe
L2 | money
L2 | month
L2 | motor
L2 | ocean
L2 | offer
L2 | order
L2 | paint
L2 | party
L2 | peace
L2 | phone
L2 | photo
L2 | pilot
L2 | pizza
L2 | plane
L2 | point
L2 | press
L2 | price
L2 | pride
L2 | queen
L2 | quick
L2 | quiet
L2 | radio
L2 | range
L2 | rapid
L2 | reach
L2 | rebel
L2 | relax
L2 | reply
L2 | rider
L2 | river
L2 | robot
L2 | rocky
L2 | round
L2 | royal
L2 | ruler
L2 | score
L2 | sense
L2 | serve
L2 | seven
L2 | share
L2 | sharp
L2 | shift
L2 | shine
L2 | shirt
L2 | shock
L2 | shore
L2 | short
L2 | shout
